date,open,high,low,close,per_change,volume,traded_amount,symbol
2024-11-05,284.0,284.0,275.1,278.0,-0.64,9546.0,2643023.8,UNHPL
2024-11-06,280.0,282.5,275.3,278.6,0.22,13105.0,3666238.3,UNHPL
2024-11-10,280.0,297.0,280.0,295.8,6.17,63938.0,18542199.3,UNHPL
2024-11-11,299.9,305.0,288.0,294.5,-0.44,64729.0,19240714.1,UNHPL
2024-11-12,288.7,300.2,288.0,289.0,-1.87,45036.0,13160773.5,UNHPL
2024-11-13,286.1,295.7,284.0,287.9,-0.38,37103.0,10660097.9,UNHPL
2024-11-14,283.0,293.0,283.0,289.0,0.38,38795.0,11248772.9,UNHPL
2024-11-17,294.7,300.5,290.0,294.0,1.73,55910.0,16521792.6,UNHPL
2024-11-19,295.0,298.0,282.5,282.5,-3.91,45407.0,13066793.1,UNHPL
2024-11-20,285.0,286.9,279.5,285.6,1.1,27224.0,7702471.7,UNHPL
2024-11-21,290.0,291.8,277.0,279.0,-2.31,35196.0,9929016.2,UNHPL
2024-11-24,283.0,284.5,275.2,278.0,-0.36,39585.0,11068848.6,UNHPL
2024-11-25,280.0,288.0,277.1,282.5,1.62,26079.0,7376144.5,UNHPL
2024-11-26,285.9,294.9,283.0,293.6,3.93,32786.0,9476109.3,UNHPL
2024-11-27,294.0,297.0,290.1,296.0,0.82,68754.0,20264047.2,UNHPL
2024-11-28,298.2,301.9,292.0,297.0,0.34,96722.0,28786503.5,UNHPL
2024-12-01,291.2,314.0,286.0,300.0,1.01,83579.0,24948875.8,UNHPL
2024-12-02,305.9,317.2,305.0,305.0,1.67,135763.0,42274271.0,UNHPL
2024-12-03,305.3,317.0,305.3,314.8,3.21,106061.0,33217344.5,UNHPL
2024-12-04,316.0,320.0,306.0,309.0,-1.84,107186.0,33614238.5,UNHPL
2024-12-05,308.0,312.3,299.0,302.5,-2.1,78478.0,23850611.1,UNHPL
2024-12-08,302.0,304.9,290.0,293.6,-2.94,80659.0,24021160.4,UNHPL
2024-12-09,295.0,298.5,290.0,292.0,-0.54,27195.0,7972051.3,UNHPL
2024-12-10,297.0,297.0,288.0,290.0,-0.68,21340.0,6215240.6,UNHPL
2024-12-11,291.0,306.0,290.0,306.0,5.52,43006.0,12758348.0,UNHPL
2024-12-12,310.1,310.1,294.0,298.0,-2.61,46292.0,13913296.5,UNHPL
2024-12-16,300.0,300.0,286.4,291.8,-2.08,30887.0,8952382.3,UNHPL
2024-12-17,286.0,290.0,285.0,289.5,-0.79,29261.0,8401305.4,UNHPL
2024-12-18,291.0,291.0,281.2,284.4,-1.76,20947.0,5979508.8,UNHPL
2024-12-19,285.0,285.0,277.1,278.0,-2.25,28590.0,8000658.4,UNHPL
2024-12-22,280.9,284.0,271.6,277.0,-0.36,34727.0,9669085.0,UNHPL
2024-12-23,280.0,287.6,277.3,287.6,3.83,27341.0,7742284.9,UNHPL
2024-12-24,288.0,290.0,283.3,285.6,-0.7,22019.0,6323719.7,UNHPL
2024-12-26,289.9,289.9,279.9,283.0,-0.91,12064.0,3423193.0,UNHPL
2024-12-29,284.0,284.0,275.0,278.9,-1.45,19088.0,5300272.5,UNHPL
2024-12-31,274.0,277.5,263.9,267.0,-4.27,49714.0,13348328.1,UNHPL
2025-01-01,264.0,274.0,264.0,270.0,1.12,9231.0,2495785.9,UNHPL
2025-01-02,266.0,275.0,265.6,271.5,0.56,15585.0,4230272.7,UNHPL
2025-01-05,271.8,282.0,270.0,281.0,3.5,33201.0,9214763.4,UNHPL
2025-01-06,281.0,290.7,281.0,289.8,3.13,34143.0,9839114.9,UNHPL
2025-01-07,290.0,296.0,283.2,290.0,0.07,37043.0,10686196.2,UNHPL
2025-01-08,286.2,291.0,285.0,288.5,-0.52,26293.0,7580019.8,UNHPL
2025-01-09,283.2,300.9,283.2,297.9,3.26,101675.0,30169018.9,UNHPL
2025-01-12,300.0,302.9,292.1,292.2,-1.91,39696.0,11772126.8,UNHPL
2025-01-13,295.0,295.0,286.8,288.9,-1.13,24299.0,7026539.9,UNHPL
